2012-10-20 17:23:04 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /home/appslanz/public_html/supermama/app/app_controller.php:20) in [/home/appslanz/public_html/supermama/cake/libs/controller/controller.php, line 746]
2012-10-20 17:37:49 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /home/appslanz/public_html/supermama/app/app_controller.php:20) in [/home/appslanz/public_html/supermama/cake/libs/controller/controller.php, line 746]
2012-10-23 15:49:53 Warning: Warning (2): Illegal offset type in isset or empty in [/home/appslanz/public_html/supermama/cake/libs/controller/controller.php, line 708]
2012-10-23 15:51:24 Warning: Warning (2): Illegal offset type in isset or empty in [/home/appslanz/public_html/supermama/cake/libs/controller/controller.php, line 708]
2012-10-29 11:37:57 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /home/appslanz/public_html/supermama/app/controllers/usuarios_controller.php:280) in [/home/appslanz/public_html/supermama/cake/libs/controller/controller.php, line 746]
2012-10-29 11:37:57 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /home/appslanz/public_html/supermama/app/controllers/usuarios_controller.php:280) in [/home/appslanz/public_html/supermama/app/views/layouts/default.ctp, line 2]
2012-10-29 11:37:57 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /home/appslanz/public_html/supermama/app/controllers/usuarios_controller.php:280) in [/home/appslanz/public_html/supermama/app/views/layouts/default.ctp, line 3]
2012-10-29 11:41:22 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /home/appslanz/public_html/supermama/app/controllers/usuarios_controller.php:280) in [/home/appslanz/public_html/supermama/cake/libs/controller/controller.php, line 746]
2012-10-29 11:41:22 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /home/appslanz/public_html/supermama/app/controllers/usuarios_controller.php:280) in [/home/appslanz/public_html/supermama/app/views/layouts/default.ctp, line 2]
2012-10-29 11:41:22 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /home/appslanz/public_html/supermama/app/controllers/usuarios_controller.php:280) in [/home/appslanz/public_html/supermama/app/views/layouts/default.ctp, line 3]
2012-10-29 13:51:00 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /home/appslanz/public_html/supermama/app/controllers/usuarios_controller.php:280) in [/home/appslanz/public_html/supermama/cake/libs/controller/controller.php, line 746]
2012-10-29 13:51:00 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /home/appslanz/public_html/supermama/app/controllers/usuarios_controller.php:280) in [/home/appslanz/public_html/supermama/app/views/layouts/default.ctp, line 2]
2012-10-29 13:51:00 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /home/appslanz/public_html/supermama/app/controllers/usuarios_controller.php:280) in [/home/appslanz/public_html/supermama/app/views/layouts/default.ctp, line 3]
2012-10-29 13:54:12 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /home/appslanz/public_html/supermama/app/controllers/usuarios_controller.php:280) in [/home/appslanz/public_html/supermama/cake/libs/controller/controller.php, line 746]
2012-10-29 13:54:12 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /home/appslanz/public_html/supermama/app/controllers/usuarios_controller.php:280) in [/home/appslanz/public_html/supermama/app/views/layouts/default.ctp, line 2]
2012-10-29 13:54:12 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /home/appslanz/public_html/supermama/app/controllers/usuarios_controller.php:280) in [/home/appslanz/public_html/supermama/app/views/layouts/default.ctp, line 3]
2012-10-29 13:54:20 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /home/appslanz/public_html/supermama/app/controllers/usuarios_controller.php:280) in [/home/appslanz/public_html/supermama/cake/libs/controller/controller.php, line 746]
2012-10-29 13:54:20 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /home/appslanz/public_html/supermama/app/controllers/usuarios_controller.php:280) in [/home/appslanz/public_html/supermama/app/views/layouts/default.ctp, line 2]
2012-10-29 13:54:20 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /home/appslanz/public_html/supermama/app/controllers/usuarios_controller.php:280) in [/home/appslanz/public_html/supermama/app/views/layouts/default.ctp, line 3]
2013-03-12 07:17:09 Warning: Warning (512): /var/www/html/php5/nskolaris/supermama/app/tmp/cache/ is not writable in [/var/www/html/php5/nskolaris/supermama/cake/libs/cache/file.php, line 267]
2013-03-12 07:17:09 Warning: Warning (512): /var/www/html/php5/nskolaris/supermama/app/tmp/cache/persistent/ is not writable in [/var/www/html/php5/nskolaris/supermama/cake/libs/cache/file.php, line 267]
2013-03-12 07:17:09 Warning: Warning (512): /var/www/html/php5/nskolaris/supermama/app/tmp/cache/models/ is not writable in [/var/www/html/php5/nskolaris/supermama/cake/libs/cache/file.php, line 267]
2013-03-12 07:17:10 Warning: Warning (2): mysql_connect() [<a href='function.mysql-connect'>function.mysql-connect</a>]: Access denied for user 'appslanz_superma'@'localhost' (using password: YES) in [/var/www/html/php5/nskolaris/supermama/cake/libs/model/datasources/dbo/dbo_mysql.php, line 540]
2013-03-12 07:17:10 Warning: Warning (2): mysql_select_db(): supplied argument is not a valid MySQL-Link resource in [/var/www/html/php5/nskolaris/supermama/cake/libs/model/datasources/dbo/dbo_mysql.php, line 546]
2013-03-12 07:17:10 Warning: Warning (2): mysql_query(): supplied argument is not a valid MySQL-Link resource in [/var/www/html/php5/nskolaris/supermama/cake/libs/model/datasources/dbo/dbo_mysql.php, line 588]
2013-03-12 07:17:10 Warning: Warning (2): mysql_get_server_info(): supplied argument is not a valid MySQL-Link resource in [/var/www/html/php5/nskolaris/supermama/cake/libs/model/datasources/dbo/dbo_mysql.php, line 554]
